Timestamp;Frame;ID;DLC;D0;D1;D2;D3;D4;D5;D6;D7
9985;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
10184;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
10184;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
10185;EFF;18000500;8;24;82;0;1A;0;0;0;2D
10219;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
10219;EFF;18000700;8;24;82;0;3A;0;0;0;33
10220;EFF;18000800;5;1E;41;C8;CC;CD;;;
10384;EFF;18000900;5;1E;42;92;F8;48;;;
10984;EFF;18000000;8;24;82;0;1A;0;0;33;8A
10985;EFF;18000100;8;24;82;0;1A;0;0;32;E1
10985;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
11183;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
11183;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
11184;EFF;18000500;8;24;82;0;1A;0;0;0;2D
11384;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
11384;EFF;18000700;8;24;82;0;3A;0;0;0;3C
11385;EFF;18000800;5;1E;41;C8;CC;CD;;;
11582;EFF;18000900;5;1E;42;92;F8;47;;;
11983;EFF;18000000;8;24;82;0;1A;0;0;33;8A
11983;EFF;18000100;8;24;82;0;1A;0;0;32;FA
11984;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
12181;EFF;18000300;8;24;82;0;1A;0;0;0C;E4
12183;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
12183;EFF;18000500;8;24;82;0;1A;0;0;0;2D
12382;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
12382;EFF;18000700;8;24;82;0;3A;0;0;0;3C
12382;EFF;18000800;5;1E;41;C8;CC;CD;;;
12419;EFF;18000900;5;1E;42;92;F8;45;;;
12982;EFF;18000000;8;24;82;0;1A;0;0;33;8A
12982;EFF;18000100;8;24;82;0;1A;0;0;32;E4
12983;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
13181;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
13181;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
13181;EFF;18000500;8;24;82;0;1A;0;0;0;2D
13380;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
13381;EFF;18000700;8;24;82;0;3A;0;0;0;44
